pizza_id,order_id,pizza_name_id,quantity,order_date,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_ingredients,pizza_name,year,month,day,day_name,revenue,hour
1.0,1.0,hawaiian_m,1.0,2015-01-01,11:38:36,13.25,13.25,M,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza,2015,1,1,Thursday,13.25,11
2.0,2.0,classic_dlx_m,1.0,2015-01-01,11:57:40,16.0,16.0,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza,2015,1,1,Thursday,16.0,11
3.0,2.0,five_cheese_l,1.0,2015-01-01,11:57:40,18.5,18.5,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza,2015,1,1,Thursday,18.5,11
4.0,2.0,ital_supr_l,1.0,2015-01-01,11:57:40,20.75,20.75,L,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,2015,1,1,Thursday,20.75,11
5.0,2.0,mexicana_m,1.0,2015-01-01,11:57:40,16.0,16.0,M,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza,2015,1,1,Thursday,16.0,11
6.0,2.0,thai_ckn_l,1.0,2015-01-01,11:57:40,20.75,20.75,L,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,2015,1,1,Thursday,20.75,11
7.0,3.0,ital_supr_m,1.0,2015-01-01,12:12:28,16.5,16.5,M,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,2015,1,1,Thursday,16.5,12
8.0,3.0,prsc_argla_l,1.0,2015-01-01,12:12:28,20.75,20.75,L,Supreme,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese",The Prosciutto and Arugula Pizza,2015,1,1,Thursday,20.75,12
9.0,4.0,ital_supr_m,1.0,2015-01-01,12:16:31,16.5,16.5,M,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,2015,1,1,Thursday,16.5,12
10.0,5.0,ital_supr_m,1.0,2015-01-01,12:21:30,16.5,16.5,M,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,2015,1,1,Thursday,16.5,12
11.0,6.0,bbq_ckn_s,1.0,2015-01-01,12:29:36,12.75,12.75,S,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza,2015,1,1,Thursday,12.75,12
12.0,6.0,the_greek_s,1.0,2015-01-01,12:29:36,12.0,12.0,S,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",The Greek Pizza,2015,1,1,Thursday,12.0,12
13.0,7.0,spinach_supr_s,1.0,2015-01-01,12:50:37,12.5,12.5,S,Supreme,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese",The Spinach Supreme Pizza,2015,1,1,Thursday,12.5,12
14.0,8.0,spinach_supr_s,1.0,2015-01-01,12:51:37,12.5,12.5,S,Supreme,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese",The Spinach Supreme Pizza,2015,1,1,Thursday,12.5,12
15.0,9.0,classic_dlx_s,1.0,2015-01-01,12:52:01,12.0,12.0,S,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza,2015,1,1,Thursday,12.0,12
16.0,9.0,green_garden_s,1.0,2015-01-01,12:52:01,12.0,12.0,S,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza,2015,1,1,Thursday,12.0,12
17.0,9.0,ital_cpcllo_l,1.0,2015-01-01,12:52:01,20.5,20.5,L,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza,2015,1,1,Thursday,20.5,12
18.0,9.0,ital_supr_l,1.0,2015-01-01,12:52:01,20.75,20.75,L,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,2015,1,1,Thursday,20.75,12
19.0,9.0,ital_supr_s,1.0,2015-01-01,12:52:01,12.5,12.5,S,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,2015,1,1,Thursday,12.5,12
20.0,9.0,mexicana_s,1.0,2015-01-01,12:52:01,12.0,12.0,S,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza,2015,1,1,Thursday,12.0,12
21.0,9.0,spicy_ital_l,1.0,2015-01-01,12:52:01,20.75,20.75,L,Supreme,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic",The Spicy Italian Pizza,2015,1,1,Thursday,20.75,12
22.0,9.0,spin_pesto_l,1.0,2015-01-01,12:52:01,20.75,20.75,L,Veggie,"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce",The Spinach Pesto Pizza,2015,1,1,Thursday,20.75,12
23.0,9.0,veggie_veg_s,1.0,2015-01-01,12:52:01,12.0,12.0,S,Veggie,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic",The Vegetables + Vegetables Pizza,2015,1,1,Thursday,12.0,12
24.0,10.0,mexicana_l,1.0,2015-01-01,13:00:15,20.25,20.25,L,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza,2015,1,1,Thursday,20.25,13
25.0,10.0,southw_ckn_l,1.0,2015-01-01,13:00:15,20.75,20.75,L,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",The Southwest Chicken Pizza,2015,1,1,Thursday,20.75,13
26.0,11.0,bbq_ckn_l,1.0,2015-01-01,13:02:59,20.75,20.75,L,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza,2015,1,1,Thursday,20.75,13
27.0,11.0,cali_ckn_l,1.0,2015-01-01,13:02:59,20.75,20.75,L,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza,2015,1,1,Thursday,20.75,13
28.0,11.0,cali_ckn_m,1.0,2015-01-01,13:02:59,16.75,16.75,M,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza,2015,1,1,Thursday,16.75,13
29.0,11.0,pepperoni_l,1.0,2015-01-01,13:02:59,15.25,15.25,L,Classic,"Mozzarella Cheese, Pepperoni",The Pepperoni Pizza,2015,1,1,Thursday,15.25,13
30.0,12.0,cali_ckn_l,1.0,2015-01-01,13:04:41,20.75,20.75,L,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza,2015,1,1,Thursday,20.75,13
31.0,12.0,cali_ckn_s,1.0,2015-01-01,13:04:41,12.75,12.75,S,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza,2015,1,1,Thursday,12.75,13
32.0,12.0,ckn_pesto_l,1.0,2015-01-01,13:04:41,20.75,20.75,L,Chicken,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce",The Chicken Pesto Pizza,2015,1,1,Thursday,20.75,13
33.0,12.0,ital_supr_m,1.0,2015-01-01,13:04:41,16.5,16.5,M,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,2015,1,1,Thursday,16.5,13
